list_name,name,label::english,governorate,district,subdistrict,label::arabic
governorate,YE12,Abyan,,,,أبين
governorate,YE24,Aden,,,,عدن
governorate,YE14,Al Bayda,,,,البيضاء
governorate,YE30,Al Dhale'e,,,,الضالع
governorate,YE18,Al Hudaydah,,,,الحديدة
governorate,YE16,Al Jawf,,,,الجوف
governorate,YE28,Al Maharah,,,,المهرة
governorate,YE27,Al Mahwit,,,,المحويت
governorate,YE29,Amran,,,,عمران
governorate,YE20,Dhamar,,,,ذمار
governorate,YE19,Hadramaut,,,,حضرموت
governorate,YE17,Hajjah,,,,حجة
governorate,YE11,Ibb,,,,إب
governorate,YE25,Lahj,,,,لحج
governorate,YE26,Marib,,,,مأرب
governorate,YE31,Raymah,,,,ريمة
governorate,YE22,Sa'ada,,,,سعدة
governorate,YE23,Sana'a,,,,صنعاء
governorate,YE21,Shabwah,,,,شبوة
governorate,YE32,Socotra,,,,سقطرى
governorate,YE15,Taizz,,,,تعز
governorate,YE13,Amanat Al Asimah,,,,
district,YE1119,Al Dhihar,YE11,,, الظهار
district,YE1107,Al Makhadir,YE11,,, المخادر
district,YE1118,Al Mashannah,YE11,,, المشنة
district,YE1101,Al Qafr,YE11,,, القفر
district,YE1111,Al Udayn,YE11,,, العدين
district,YE1104,An Nadirah,YE11,,, النادرة
district,YE1103,Ar Radmah,YE11,,, الرضمة
district,YE1114,As Sabrah,YE11,,, السبرة
district,YE1106,As Saddah,YE11,,, السدة
district,YE1115,As Sayyani,YE11,,, السياني
district,YE1105,Ash Sha'ir,YE11,,, الشعر
district,YE1113,Ba'dan,YE11,,, بعدان
district,YE1116,Dhi As Sufal,YE11,,, ذي السفال
district,YE1110,Far Al Udayn,YE11,,, فرع العدين
district,YE1109,Hazm Al Udayn,YE11,,, حزم العدين
district,YE1108,Hubaysh,YE11,,, حبيش
district,YE1120,Ibb,YE11,,, إب
district,YE1112,Jiblah,YE11,,, جبلة
district,YE1117,Mudhaykhirah,YE11,,, مذيخرة
district,YE1102,Yarim,YE11,,, يريم
district,YE1209,Ahwar,YE12,,, احوار
district,YE1201,Al Mahfad,YE12,,, المحفد
district,YE1208,Al Wade'a,YE12,,, الوضيع
district,YE1203,Jayshan,YE12,,, جيشان
district,YE1211,Khanfir,YE12,,, خنفر
district,YE1204,Lawdar,YE12,,, لودر
district,YE1202,Mudiyah,YE12,,, موديه
district,YE1206,Rasad,YE12,,, رصد
district,YE1207,Sarar,YE12,,, سرار
district,YE1205,Sibah,YE12,,, سباح
district,YE1210,Zingibar,YE12,,, زنجبار
district,YE1306,Al Wahdah,YE13,,, الوحدة
district,YE1305,As Sabain,YE13,,, السبعين
district,YE1304,Assafi'yah,YE13,,, الصافية
district,YE1307,At Tahrir,YE13,,, التحرير
district,YE1309,Ath'thaorah,YE13,,, الثورة
district,YE1303,Az'zal,YE13,,, أزال
district,YE1310,Bani Al Harith,YE13,,, بني الحارث
district,YE1308,Ma'ain,YE13,,, معين
district,YE1301,Old City,YE13,,, صنعاء القديمة
district,YE1302,Shu'aub,YE13,,, شعوب
district,YE1416,Al A'rsh,YE14,,, العرش
district,YE1410,Al Bayda,YE14,,, البيضاء
district,YE1409,Al Bayda City,YE14,,, مدينة البيضاء
district,YE1420,Al Malagim,YE14,,, الملاجم
district,YE1414,Al Quraishyah,YE14,,, القريشية
district,YE1418,Ar Ryashyyah,YE14,,, الرياشية
district,YE1411,As Sawadiyah,YE14,,, السوادية
district,YE1404,As Sawma'ah,YE14,,, الصومعة
district,YE1419,Ash Sharyah,YE14,,, الشرية
district,YE1407,At Taffah,YE14,,, الطفة
district,YE1405,Az Zahir,YE14,,, الزاهر
district,YE1406,Dhi Na'im,YE14,,, ذي ناعم
district,YE1403,Maswarah,YE14,,, مسورة
district,YE1408,Mukayras,YE14,,, مكيراس
district,YE1401,Na'man,YE14,,, نعمان
district,YE1402,Nati',YE14,,, ناطع
district,YE1413,Rada',YE14,,, رداع
district,YE1412,Radman Al Awad,YE14,,, ردمان
district,YE1417,Sabah,YE14,,, صباح
district,YE1415,Wald Rabi',YE14,,, ولد ربيع
district,YE1521,Al Ma'afer,YE15,,, المعافر
district,YE1522,Al Mawasit,YE15,,, المواسط
district,YE1511,Al Misrakh,YE15,,, المسراخ
district,YE1517,Al Mudhaffar,YE15,,, المظفر
district,YE1505,Al Mukha,YE15,,, المخاء
district,YE1518,Al Qahirah,YE15,,, القاهرة
district,YE1515,Al Wazi'iyah,YE15,,, الوازعية
district,YE1513,As Silw,YE15,,, الصلو
district,YE1514,Ash Shamayatayn,YE15,,, الشمايتين
district,YE1520,At Ta'iziyah,YE15,,, التعزية
district,YE1506,Dhubab,YE15,,, ذباب
district,YE1512,Dimnat Khadir,YE15,,, دمنة خدير
district,YE1516,Hayfan,YE15,,, هيفان
district,YE1508,Jabal Habashy,YE15,,, جبل حبشي
district,YE1504,Maqbanah,YE15,,, مقبنة
district,YE1509,Mashra'a Wa Hadnan,YE15,,, مشرعة وحدنان
district,YE1501,Mawiyah,YE15,,, ماوية
district,YE1507,Mawza,YE15,,, موزع
district,YE1510,Sabir Al Mawadim,YE15,,, صبر الموادم
district,YE1519,Salh,YE15,,, صالة
district,YE1523,Sama,YE15,,, سامع
district,YE1503,Shara'b Ar Rawnah,YE15,,, شرعب الرونة
district,YE1502,Shara'b As Salam,YE15,,, شرعب السلام
district,YE1608,Al Ghayl,YE16,,, الغيل
district,YE1605,Al Hazm,YE16,,, الحزم
district,YE1602,Al Humaydat,YE16,,, الحميدات
district,YE1609,Al Khalq,YE16,,, الخلق
district,YE1607,Al Maslub,YE16,,, المصلوب
district,YE1603,Al Matammah,YE16,,, المطمه
district,YE1606,Al Maton,YE16,,, المتون
district,YE1604,Az Zahir,YE16,,, الزاهر
district,YE1610,Bart Al Anan,YE16,,, برط العنان
district,YE1601,Khabb wa ash Sha'af,YE16,,, خب و الشعف
district,YE1612,Kharab Al Marashi,YE16,,, خراب المراشى
district,YE1611,Rajuzah,YE16,,, رجوزه
district,YE1704,Abs,YE17,,, عبس
district,YE1714,Aflah Al Yaman,YE17,,, افلح اليمن
district,YE1710,Aflah Ash Shawm,YE17,,, افلح الشام
district,YE1708,Al Jamimah,YE17,,, الجميمة
district,YE1717,Al Maghrabah,YE17,,, المغربة
district,YE1715,Al Mahabishah,YE17,,, المحابشة
district,YE1716,Al Miftah,YE17,,, المفتاح
district,YE1725,Ash Shaghadirah,YE17,,, الشغادرة
district,YE1721,Ash Shahil,YE17,,, الشاهل
district,YE1712,Aslem,YE17,,, اسلم
district,YE1701,Bakil Al Mir,YE17,,, بكيل المير
district,YE1727,Bani Al Awam,YE17,,, بني العوام
district,YE1724,Bani Qa'is,YE17,,, بني قيس
district,YE1729,Hajjah,YE17,,, حجة
district,YE1728,Hajjah City,YE17,,, مدينة حجة
district,YE1702,Haradh,YE17,,, حرض
district,YE1705,Hayran,YE17,,, حيران
district,YE1711,Khayran Al Muharraq,YE17,,, خيران المحرق
district,YE1722,Ku'aydinah,YE17,,, كعيدنه
district,YE1718,Kuhlan Affar,YE17,,, كحلان عفار
district,YE1709,Kuhlan Ash Sharaf,YE17,,, كحلان الشرف
district,YE1707,Kushar,YE17,,, كشر
district,YE1720,Mabyan,YE17,,, مبين
district,YE1703,Midi,YE17,,, ميدي
district,YE1706,Mustaba,YE17,,, مستباء
district,YE1726,Najrah,YE17,,, نجرة
district,YE1713,Qafl Shamer,YE17,,, قفل شمر
district,YE1731,Qarah,YE17,,, قارة
district,YE1719,Sharas,YE17,,, شرس
district,YE1723,Wadhrah,YE17,,, وضرة
district,YE1730,Washhah,YE17,,, وشحة
district,YE1809,Ad Dahi,YE18,,, الضحي
district,YE1814,Ad Durayhimi,YE18,,, الدريهمي
district,YE1825,Al Garrahi,YE18,,, الجراحي
district,YE1811,Al Hajjaylah,YE18,,, الحجيلة
district,YE1823,Al Hali,YE18,,, الحالي
district,YE1821,Al Hawak,YE18,,, الحوك
district,YE1820,Al Khawkhah,YE18,,, الخوخه
district,YE1816,Al Mansuriyah,YE18,,, المنصورية
district,YE1813,Al Marawi'ah,YE18,,, المراوعة
district,YE1808,Al Mighlaf,YE18,,, المغلاف
district,YE1822,Al Mina,YE18,,, الميناء
district,YE1805,Al Munirah,YE18,,, المنيرة
district,YE1806,Al Qanawis,YE18,,, القناوص
district,YE1802,Alluheyah,YE18,,, اللحية
district,YE1804,As Salif,YE18,,, الصليف
district,YE1815,As Sukhnah,YE18,,, السخنة
district,YE1826,At Tuhayat,YE18,,, التحيتا
district,YE1807,Az Zaydiyah,YE18,,, الزيدية
district,YE1801,Az Zuhrah,YE18,,, الزهرة
district,YE1810,Bajil,YE18,,, باجل
district,YE1817,Bayt Al Faqiah,YE18,,, بيت الفقيه
district,YE1812,Bura,YE18,,, براع
district,YE1819,Hays,YE18,,, حيس
district,YE1818,Jabal Ra's,YE18,,, جبل راس
district,YE1803,Kamaran,YE18,,, كمران
district,YE1824,Zabid,YE18,,, زبيد
district,YE1914,Ad Dis,YE19,,, الديس
district,YE1922,Adh Dhlia'ah,YE19,,, الضليعه
district,YE1906,Al Abr,YE19,,, العبر
district,YE1926,Al Mukalla,YE19,,, المكلا
district,YE1927,Al Mukalla City,YE19,,, مدينة المكلا
district,YE1903,Al Qaf,YE19,,, القف
district,YE1907,Al Qatn,YE19,,, القطن
district,YE1921,Amd,YE19,,, عمد
district,YE1913,Ar Raydah Wa Qusayar,YE19,,, الريده وقصيعر
district,YE1912,As Sawm,YE19,,, السوم
district,YE1915,Ash Shihr,YE19,,, الشحر
district,YE1925,Brom Mayfa,YE19,,, بروم ميفع
district,YE1918,Daw'an,YE19,,, دوعن
district,YE1917,Ghayl Ba Wazir,YE19,,, غيل باوزير
district,YE1916,Ghayl Bin Yamin,YE19,,, غيل بن يمين
district,YE1905,Hagr As Sai'ar,YE19,,, حجر الصيعر
district,YE1924,Hajr,YE19,,, حجر
district,YE1928,Huraidhah,YE19,,, حريضه
district,YE1920,Rakhyah,YE19,,, رخيه
district,YE1901,Rumah,YE19,,, رماه
district,YE1909,Sah,YE19,,, ساه
district,YE1910,Sayun,YE19,,, سيئون
district,YE1908,Shibam,YE19,,, شبام
district,YE1911,Tarim,YE19,,, تريم
district,YE1902,Thamud,YE19,,, ثمود
district,YE1919,Wadi Al Ayn,YE19,,, وادي العين وحوره
district,YE1923,Yabuth,YE19,,, يبعث
district,YE1904,Zamakh wa Manwakh,YE19,,, زموخ ومنوخ
district,YE2001,Al Hada,YE20,,, الحداء
district,YE2012,Al Manar,YE20,,, المنار
district,YE2010,Anss,YE20,,, عنس
district,YE2011,Dawran Aness,YE20,,, ضوران اًنس
district,YE2008,Dhamar City,YE20,,, مدينة ذمار
district,YE2003,Jabal Ash sharq,YE20,,, جبل الشرق
district,YE2002,Jahran,YE20,,, جهران
district,YE2004,Maghirib Ans,YE20,,, مغرب عنس
district,YE2009,Mayfa'at Anss,YE20,,, ميفعة عنس
district,YE2005,Utmah,YE20,,, عتمة
district,YE2006,Wusab Al Ali,YE20,,, وصاب العالي
district,YE2007,Wusab As Safil,YE20,,, وصاب السافل
district,YE2106,Ain,YE21,,, عين
district,YE2102,Al Talh,YE21,,, الطلح
district,YE2115,Ar Rawdah,YE21,,, الروضه
district,YE2104,Arma,YE21,,, عرماء
district,YE2112,As Said,YE21,,, الصعيد
district,YE2113,Ataq,YE21,,, عتق
district,YE2107,Bayhan,YE21,,, بيحان
district,YE2101,Dhar,YE21,,, دهر
district,YE2114,Habban,YE21,,, حبان
district,YE2111,Hatib,YE21,,, حطيب
district,YE2103,Jardan,YE21,,, جردان
district,YE2116,Mayfa'a,YE21,,, ميفعه
district,YE2108,Merkhah Al Ulya,YE21,,, مرخه العليا
district,YE2109,Merkhah As Sufla,YE21,,, مرخه السفلى
district,YE2110,Nisab,YE21,,, نصاب
district,YE2117,Rudum,YE21,,, رضوم
district,YE2105,Usaylan,YE21,,, عسيلان
district,YE2207,Al Dhaher,YE22,,, الظاهر
district,YE2213,Al Hashwah,YE22,,, الحشوه
district,YE2212,As Safra,YE22,,, الصفراء
district,YE2201,Baqim,YE22,,, باقم
district,YE2204,Ghamr,YE22,,, غمر
district,YE2208,Haydan,YE22,,, حيدان
district,YE2214,Kitaf wa Al Boqe'e,YE22,,, كتاف والبقع
district,YE2210,Majz,YE22,,, مجز
district,YE2203,Monabbih,YE22,,, منبه
district,YE2202,Qatabir,YE22,,, قطابر
district,YE2205,Razih,YE22,,, رازح
district,YE2215,Sa'adah,YE22,,, صعدة
district,YE2211,Sahar,YE22,,, سحار
district,YE2209,Saqayn,YE22,,, ساقين
district,YE2206,Shada'a,YE22,,, شداء
district,YE2308,Al Haymah Ad Dakhiliyah,YE23,,, الحيمة الداخلية
district,YE2309,Al Haymah Al Kharijiyah,YE23,,, الحيمة الخارجية
district,YE2315,Al Husn,YE23,,, الحصن
district,YE2302,Arhab,YE23,,, ارحب
district,YE2313,Attyal,YE23,,, الطيال
district,YE2314,Bani Dhabyan,YE23,,, بني ضبيان
district,YE2304,Bani Hushaysh,YE23,,, بني حشيش
district,YE2307,Bani Matar,YE23,,, بني مطر
district,YE2306,Bilad Ar Rus,YE23,,, بلاد الروس
district,YE2301,Hamdan,YE23,,, همدان
district,YE2316,Jihanah,YE23,,, جحانة
district,YE2312,Khwlan,YE23,,, خولان
district,YE2310,Manakhah,YE23,,, مناخه
district,YE2303,Nihm,YE23,,, نهم
district,YE2311,Sa'fan,YE23,,, صعفان
district,YE2305,Sanhan,YE23,,, سنحان وبني بهلول
district,YE2404,Al Buraiqeh,YE24,,, البريقه
district,YE2403,Al Mansura,YE24,,, المنصورة
district,YE2406,Al Mualla,YE24,,, المعلا
district,YE2402,Ash Shaikh Outhman,YE24,,, الشيخ عثمان
district,YE2405,Attawahi,YE24,,, التواهي
district,YE2407,Craiter,YE24,,, كريتر
district,YE2401,Dar Sad,YE24,,, دار سعد
district,YE2408,Khur Maksar,YE24,,, خور مكسر
district,YE2501,Al Had,YE25,,, الحد
district,YE2514,Al Hawtah,YE25,,, الحوطة
district,YE2513,Al Madaribah Wa Al Arah,YE25,,, المضاربة و العاره
district,YE2503,Al Maflahy,YE25,,, المفلحي
district,YE2512,Al Maqatirah,YE25,,, المقاطرة
district,YE2508,Al Milah,YE25,,, الملاح
district,YE2509,Al Musaymir,YE25,,, المسيمير
district,YE2510,Al Qabbaytah,YE25,,, القبيطه
district,YE2505,Habil Jabr,YE25,,, حبيل جبر
district,YE2506,Halimayn,YE25,,, حالمين
district,YE2507,Radfan,YE25,,, ردفان
district,YE2515,Tuban,YE25,,, تبن
district,YE2511,Tur Al Bahah,YE25,,, طور الباحة
district,YE2502,Yafa'a,YE25,,, يافع
district,YE2504,Yahr,YE25,,, يهر
district,YE2611,Al Abdiyah,YE26,,, العبدية
district,YE2607,Al Jubah,YE26,,, الجوبة
district,YE2605,Bidbadah,YE26,,, بدبده
district,YE2609,Harib,YE26,,, حريب
district,YE2604,Harib Al Qaramish,YE26,,, حريب القرامش
district,YE2614,Jabal Murad,YE26,,, جبل مراد
district,YE2610,Mahliyah,YE26,,, ماهليه
district,YE2601,Majzar,YE26,,, مجزر
district,YE2613,Marib,YE26,,, مأرب
district,YE2612,Marib City,YE26,,, مدينة مأرب
district,YE2603,Medghal,YE26,,, مدغل
