list_name,name,label::english
governorate,YE11,Ibb
governorate,YE12,Abyan
governorate,YE13,Sana'a City
governorate,YE14,Al Bayda
governorate,YE15,Ta'iz
governorate,YE16,Al Jawf
governorate,YE17,Hajjah
governorate,YE18,Al Hodeidah
governorate,YE19,Hadramawt
governorate,YE20,Dhamar
governorate,YE21,Shabwah
governorate,YE22,Sa'dah
governorate,YE23,Sana'a
governorate,YE24,Aden
governorate,YE25,Lahj
governorate,YE26,Ma'rib
governorate,YE27,Al Mahwit
governorate,YE28,Al Maharah
governorate,YE29,Amran
governorate,YE30,Ad Dali'
governorate,YE31,Raymah
governorate,YE32,Socotra
district,YE1101,Al Qafr
district,YE1102,Yarim
district,YE1103,Ar Radmah
district,YE1104,An Nadirah
district,YE1105,Ash Shair
district,YE1106,As Saddah
district,YE1107,Al Makhadir
district,YE1108,Hobeish
district,YE1109,Hazm Al Odayn
district,YE1110,Far Al Odayn
district,YE1111,Al Odayn
district,YE1112,Jiblah
district,YE1113,Badan
district,YE1114,As Sabrah
district,YE1115,As Saiyani
district,YE1116,Dhi As Sufal
district,YE1117,Mudhaykhirah
district,YE1118,Al Mashannah
district,YE1119,Adh Dhihar
district,YE1120,Ibb
district,YE1201,Al Mahfad
district,YE1202,Mudiyah
district,YE1203,Jayshan
district,YE1204,Lawdar
district,YE1205,Sibah
district,YE1206,Rassd
district,YE1207,Sarar
district,YE1208,Al Wadi
district,YE1209,Ahwar
district,YE1210,Zinjibar
district,YE1211,Khanfar
district,YE1301,Old City
district,YE1302,Shuub
district,YE1303,Azaal
district,YE1304,As Safiyah
district,YE1305,As Sabin
district,YE1306,Al Wehdah
district,YE1307,At Tahrir
district,YE1308,Main
district,YE1309,Ath Thawrah
district,YE1310,Bani Al Harith
district,YE1319,Sanaa City Outskirts - Hamdan
district,YE1324,Sanaa City Outskirts - Sanhan wa Bani Bahlul
district,YE1401,Numan
district,YE1402,Nati
district,YE1403,Maswarah
district,YE1404,As Sawmaah
district,YE1405,Az Zahir - Al Bayda
district,YE1406,Dhi Naim
district,YE1407,At Taffah
district,YE1408,Mukayras
district,YE1409,Al Bayda City
district,YE1410,Al Bayda
district,YE1411,As Sawadiyah
district,YE1412,Radman
district,YE1413,Rada
district,YE1414,Al Quraishyah
district,YE1415,Wald Rabi
district,YE1416,Al Arsh
district,YE1417,Sabah
district,YE1418,Ar Ryashyyah
district,YE1419,Ash Sharyah
district,YE1420,Al Malajim
district,YE1501,Mawiyah
district,YE1502,Sharab As Salam
district,YE1503,Sharab Ar Rawnah
district,YE1504,Maqbanah
district,YE1505,Al Makha
district,YE1506,Dhubab
district,YE1507,Mawza
district,YE1508,Jabal Habashi
district,YE1509,Mashrah Wa Hadnan
district,YE1510,Sabir Al Mawadim
district,YE1511,Al Misrakh
district,YE1512,Dimnat Khadir
district,YE1513,As Silw
district,YE1514,Ash Shamayatayn
district,YE1515,Al Waziyah
district,YE1516,Hayfan
district,YE1517,Al Mudhaffar
district,YE1518,Al Qahirah
district,YE1519,Salah
district,YE1520,At Taiziyah
district,YE1521,Al Maafer
district,YE1522,Al Mawasit
district,YE1523,Sami
district,YE1601,Khab wa Ash Shaf
district,YE1602,Al Humaydat
district,YE1603,Al Matammah
district,YE1604,Az Zahir - Al Jawf
district,YE1605,Al Hazm
district,YE1606,Al Mutun
district,YE1607,Al Maslub
district,YE1608,Al Ghayl
district,YE1609,Al Khalaq
district,YE1610,Barat Al Anan
district,YE1611,Rajuzah
district,YE1612,Kharab Al Marashi
district,YE1701,Bakil Al Mir
district,YE1702,Harad
district,YE1703,Midi
district,YE1704,Abs
district,YE1705,Hayran
district,YE1706,Mustaba
district,YE1707,Kushar
district,YE1708,Al Jamimah
district,YE1709,Kuhlan Ash Sharaf
district,YE1710,Aflah Ash Sham
district,YE1711,Khayran Al Muharraq
district,YE1712,Aslam
district,YE1713,Qafl Shammar
district,YE1714,Aflah Al Yaman
district,YE1715,Al Mahabishah
district,YE1716,Al Miftah
district,YE1717,Al Maghrabah
district,YE1718,Kuhlan Afar
district,YE1719,Sharas
district,YE1720,Mabyan
district,YE1721,Ash Shahil
district,YE1722,Kuaydinah
district,YE1723,Wadrah
district,YE1724,Bani Qays
district,YE1725,Ash shaghadirah
district,YE1726,Najrah
district,YE1727,Bani Al Awam
district,YE1728,Hajjah City
district,YE1729,Hajjah
district,YE1730,Washhah
district,YE1731,Qarah
district,YE1801,Az Zuhrah
district,YE1802,Alluhayah
district,YE1803,Kamaran
district,YE1804,As Salif
district,YE1805,Al Munirah
district,YE1806,Al Qanawis
district,YE1807,Az Zaydiah
district,YE1808,Al Mighlaf
district,YE1809,Ad Dohi
district,YE1810,Bajil
district,YE1811,Al Hujjaylah
district,YE1812,Bura
district,YE1813,Al Marawiah
district,YE1814,Ad Durayhimi
district,YE1815,As Sukhnah
district,YE1816,Al Mansuriyah
district,YE1817,Bayt Al Faqih
district,YE1818,Jabal Ras
district,YE1819,Hays
district,YE1820,Al Khukhah
district,YE1821,Al Hawak
district,YE1822,Al Mina
district,YE1823,Al Hali
district,YE1824,Zabid
district,YE1825,Al Jarrahi
district,YE1826,At Tuhayta
district,YE1901,Rumah
district,YE1902,Thamud
district,YE1903,Al Qaff
district,YE1904,Zamakh wa Manwokh
district,YE1905,Hajar As Sayar
district,YE1906,Al Abr
district,YE1907,Al Qatn
district,YE1908,Shibam
district,YE1909,Sah
district,YE1910,Sayun
district,YE1911,Tarim
district,YE1912,As Sawm
district,YE1913,Ar Raydah wa Qussayar
district,YE1914,Ad Dis
district,YE1915,Ash Shihr
district,YE1916,Ghayl bin Yamin
