b4_site_smc_agency_name,c1_type_of_site,c2_landowner,c3_tenancy_agreement_for_at_least_6_months,b1_site_management,b7_community_committee_in_place,d1_most_common_reason_idps_left_place_of_origin,a8_population_groups_other_than_idps_in_site_select_all_applicable,d3_most_common_intention_in_next_three_months,c4_general_market_in_site_close_proximity,d2_1_most_common_district_of_idp_origin,d2_2_second_most_common_district_of_idp_origin,d2_3_third_most_common_district_of_idp_origin,c6_electricity_solar_power_available_in_site,c5_fuel_available_in_site_close_proximity,c8_primary_water_source,c9_primary_shelter_type,c10_primary_latrine_type,i1_top_priority_need,i2_second_priority_need,i3_third_priority_need,psp_rrm_distributions,psp_shelter_maintenance_services,psp_nfi_distribution,psp_food_distribution,psp_cash_distributions,psp_wash_services,psp_health_services,psp_education_services,psp_livelihood_services,psp_protection_services,psp_nutrition_services,psp_waste_disposal_services,if_ngo_rrm_distributions,if_ngo_shelter_maintenance_services,if_ngo_nfi_distribution,if_ngo_food_distribution,if_ngo_cash_distributions,if_ngo_wash_services,if_ngo_health_services,if_ngo_education_services,if_ngo_livelihood_services,if_ngo_protection_services,if_ngo_nutrition_services,if_ngo_waste_disposal_services,c7_presence_of_particularly_vulnerable_groups.unaccompanied_separated_children,c7_presence_of_particularly_vulnerable_groups.child_headed_hh,c7_presence_of_particularly_vulnerable_groups.elderly,c7_presence_of_particularly_vulnerable_groups.female_headed_hh,c7_presence_of_particularly_vulnerable_groups.marginalized_people,c7_presence_of_particularly_vulnerable_groups.persons_with_disabilities,c7_presence_of_particularly_vulnerable_groups.persons_with_chronic_diseases_serious_medical_conditions,c7_presence_of_particularly_vulnerable_groups.pregnant_and_lactating_women,f1_threats_to_the_site.flooding,f1_threats_to_the_site.eviction,f1_threats_to_the_site.infectious_diseases,f1_threats_to_the_site.friction_between_communities,f1_threats_to_the_site.water_contamination,f1_threats_to_the_site.conflict_related_incidents,f1_threats_to_the_site.fire_related_incidents,a1_governorate_name,a2_district_name,a3_sub_district_name,a4_site_name,a4_site_code,a6_site_occupation_date_dd_mm_yy,a7_site_population_individual,a7_site_population_hh,a8_population_groups_other_than_idps_in_site_select_all_applicable,@rrm_distributions,@shelter_maintenance_services,@nfi_distribution,@food_distribution,@cash_distributions,@wash_services,@health_services,@education_services,@livelihood_services,@protection_services,@nutrition_services,@waste_disposal_services,@maps
N/A,Spontaneous settlement,Private,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Sirwah,NA,NA,Yes,Yes,Piped water into compound/public tap,Emergency shelter,Pit latrine-covered,Protection services,Medical assistance,Water,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,Government,Government,NA,NA,NGO/UN agency,Government,NA,NA,UNICEF,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,UNICEF,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Ma'rib,Ma'rib,Aal Jalal,Jaw Al Naseem Al Asfal,YE2613 - 0190,12/1/2014,450,60,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/YEM_CCCM_Jaw Al Naseem Al Asfal.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Sirwah,NA,NA,Yes,Yes,Piped water into compound/public tap,Emergency shelter,Pit latrine-covered,Shelter / maintenance assistance,Water,Cash assistance,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,Government,Government,NA,NA,NA,NA,NA,NA,UNICEF,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Ma'rib,Ma'rib,Aal Jalal,Jaw An Naseem al Awsat,YE2613 - 1186,12/1/2014,908,150,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Jaw An Naseem al Awsat.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Sirwah,NA,NA,Yes,Yes,Piped water into compound/public tap,Emergency shelter,Pit latrine-covered,Shelter / maintenance assistance,Medical assistance,Education,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,Private,Government,NA,NA,NA,Government,NA,NA,UNICEF,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Ma'rib,Ma'rib,Aal Jalal,Jaw Al Naseem Al A'la,YE2613 - 0020,7/1/2015,120,22,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/YEM_CCCM_Jaw Al Naseem Al A'la.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Hazm Al Odayn,NA,NA,Yes,Yes,Piped water into compound/public tap,Emergency shelter,Pit latrine-covered,Shelter / maintenance assistance,Water,Nutrition services,NA,Private,NGO/UN agency,NGO/UN agency,NA,NA,Private,Government,NA,NA,NGO/UN agency,NA,NA,NA,UNICEF,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,UNICEF,NA,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Ma'rib,Ma'rib,Aal Shabwan,Al-Erq,YE2613 - 0001,2/1/2016,370,80,host community,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/YEM_CCCM_Al-Erq.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Bayt Al Faqih,NA,NA,Yes,No,Piped water into compound/public tap,Emergency shelter,Open defection,Shelter / maintenance assistance,Water,Education,NA,NA,NA,NGO/UN agency,NA,NA,Private,NA,Government,NA,NGO/UN agency,Government,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,UNICEF,NA,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Ma'rib,Ma'rib,Aal Jalal,Alhami,YE2613 - 0038,11/1/2014,350,95,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/YEM_CCCM_Alhami.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Mabyan,NA,NA,Yes,Yes,Piped water into compound/public tap,Emergency shelter,Pit latrine-covered,Education,Medical assistance,Shelter / maintenance assistance,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,NGO/UN agency,Government,Government,Government,NA,NGO/UN agency,NA,Building Foundation for Development (BFD),Yemen Red Crescent Society (YRCS),UNICEF,World Food Programme (WFP),Adventist Development Relief Agency,UNICEF,NA,NA,NA,NA,UNICEF,NA,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Ma'rib,Sirwah,Sirwah,The Hospital Camp ,YE2606 - 1190,1/1/2016,650,108,host community,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/YEM_CCCM_The Hospital Camp .pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Jahran,Kushar,NA,Yes,Yes,Piped water into compound/public tap,Host family house/apartment,Pit latrine-covered,Shelter / maintenance assistance,Education,Livelihood assistance,NA,NA,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,Government,Government,NA,NA,NGO/UN agency,NA,NA,NA,UNICEF,World Food Programme (WFP),NA,UNICEF,NA,NA,NA,NA,UNICEF,NA,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Ma'rib,Sirwah,Sirwah,Az Zour ,YE2606 - 1191,1/1/2016,1700,285,host community,./merge/red.png,./merge/red.png,./merge/green.png,./merge/green.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/YEM_CCCM_Az Zour .pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,House/livelihood assets destroyed/occupied,Host community,Stay in the site,No,Dawran Anis,NA,NA,No,No,Protected rainwater tank/well/spring,Emergency shelter,Open defection,Food,Shelter / maintenance assistance,Medical assistance,NA,NA,NA,NGO/UN agency,NA,NA,Government,Government,NA,NA,NGO/UN agency,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,UNICEF,NA,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Ma'rib,Rahabah,Aal Ham,Wadi zabeeb ,YE2608 - 1192,12/1/2014,660,110,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/YEM_CCCM_Wadi zabeeb .pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Kusmah,Nihm,Hajjah City,Yes,Yes,Piped water into compound/public tap,Emergency shelter,Pit latrine-covered,Sanitation services,Medical assistance,Education,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,Government,Government,Government,NA,NA,NA,NA,NA,UNICEF,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,As Sadeeq Block An Najah Camp ,YE2612 - 1193,6/1/2016,480,80,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_As Sadeeq Block An Najah Camp .pdf
N/A,Spontaneous settlement,Public ,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Az Zuhrah,Kharab Al Marashi,Razih,No,Yes,Borehole,Emergency shelter,Flush latrine to the open,Shelter / maintenance assistance,Water,Sanitation services,NGO/UN agency,NA,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,NA,NGO/UN agency,NA,National Foundation for Development & Humanitarian Response (NFDHR),NA,King Salman Humanitarian Aid and Relief Center (KSRelief),World Food Programme (WFP),Adventist Development Relief Agency,NA,NA,NA,NA,NA,UNICEF,NA,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Al-Khaseef,YE2612 - 0354,11/1/2019,950,190,none,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/YEM_CCCM_Al-Khaseef.pdf
