uuid,rrm_distributions,shelter_maintenance_services,nfi_distribution,food_distribution,cash_distributions,wash_services,health_services,education_services,livelihood_services,protection_services,legal_services,nutrition_services,waste_disposal_services,i1_top_priority_need,i2_second_priority_need,i3_third_priority_need,food_check,water_check,shelter_check,nfi_check,sanitation_check,nutrition_check,health_check,livelihoods_check,cash_check,legal_check,protection_check,education_check
b967fae0-eac3-414746-989d91-3d5f018c7492,adequate,adequate,inadequate,inadequate,adequate,inadequate,inadequate,inadequate,inadequate,adequate,inadequate,inadequate,adequate,legal_services,livelihood_assistance,water,0,0,0,0,0,0,0,0,0,0,0,0
8ef2c13a-1cf0-444049-b2bfbc-452dc937618e,inadequate,non_existent,inadequate,inadequate,inadequate,adequate,inadequate,adequate,inadequate,adequate,adequate,non_existent,inadequate,food,food,sanitation_services,0,0,0,0,0,0,0,0,0,0,0,0
24df9b37-bef2-46414f-92949d-c2fa37659be1,inadequate,adequate,inadequate,inadequate,inadequate,non_existent,inadequate,non_existent,inadequate,adequate,adequate,non_existent,non_existent,nutrition_services,cash_assistance,non_food_items,0,0,0,0,0,0,0,0,0,0,0,0
96a24f01-15d0-46444e-b7beb0-c3ed8179a24b,inadequate,adequate,adequate,non_existent,non_existent,non_existent,inadequate,inadequate,inadequate,non_existent,non_existent,inadequate,non_existent,education,other,water,0,0,0,0,0,0,0,0,0,0,0,0
576a08f3-fc2e-4e494d-969e9f-9debc17a5026,adequate,inadequate,non_existent,inadequate,inadequate,inadequate,non_existent,non_existent,adequate,inadequate,non_existent,inadequate,inadequate,water,nutrition_services,nutrition_services,0,0,0,0,0,0,0,0,0,0,0,0
1befd9ac-d3f5-464c41-9d939f-95bf4273018d,adequate,adequate,inadequate,inadequate,adequate,non_existent,inadequate,non_existent,adequate,non_existent,non_existent,inadequate,non_existent,protection_services,medical_assistance,other,0,0,0,0,0,0,0,0,0,0,0,0
cfe72ab3-4ba6-454c4e-87858a-1ea84d093f5c,adequate,non_existent,non_existent,inadequate,adequate,adequate,non_existent,non_existent,non_existent,inadequate,adequate,adequate,adequate,nutrition_services,food,medical_assistance,0,0,0,0,0,1,0,0,0,0,0,0
f95d438a-fd21-4d4749-9e9398-973bad61e508,non_existent,adequate,inadequate,inadequate,inadequate,non_existent,adequate,non_existent,non_existent,adequate,inadequate,inadequate,non_existent,cash_assistance,non_food_items,shelter_maintenance_assistance,0,0,1,0,0,0,0,0,0,0,0,0
8d270f15-dfa2-43444c-888d84-682049c3dfa5,adequate,adequate,inadequate,inadequate,inadequate,inadequate,adequate,non_existent,adequate,non_existent,adequate,non_existent,inadequate,non_food_items,water,shelter_maintenance_assistance,0,0,1,0,0,0,0,0,0,0,0,0
6031fb42-9afb-4b4341-a1a6ac-c32b6d409e85,adequate,non_existent,non_existent,non_existent,adequate,adequate,non_existent,non_existent,inadequate,adequate,adequate,non_existent,inadequate,food,non_food_items,livelihood_assistance,0,0,0,0,0,0,0,0,0,0,0,0
6f02d945-9801-48444d-818289-c420f58d73a1,adequate,adequate,inadequate,non_existent,adequate,inadequate,non_existent,inadequate,inadequate,non_existent,adequate,adequate,non_existent,non_food_items,water,nutrition_services,0,0,0,0,0,1,0,0,0,0,0,0
6d0b2f47-fbd3-4d4c41-999b91-8936d2b05fc1,inadequate,non_existent,adequate,inadequate,adequate,inadequate,adequate,adequate,non_existent,adequate,inadequate,inadequate,non_existent,education,protection_services,nutrition_services,0,0,0,0,0,0,0,0,0,0,1,1
8c9326db-2d75-4a464c-b1b8b7-4f867501392a,non_existent,non_existent,inadequate,inadequate,non_existent,non_existent,adequate,non_existent,inadequate,inadequate,inadequate,non_existent,adequate,shelter_maintenance_assistance,medical_assistance,non_food_items,0,0,0,0,0,0,1,0,0,0,0,0
980a1b73-c94a-4b4540-8e8d83-0bc1468723fa,inadequate,inadequate,inadequate,adequate,adequate,inadequate,inadequate,adequate,inadequate,non_existent,non_existent,adequate,adequate,sanitation_services,medical_assistance,education,0,0,0,0,1,0,0,0,0,0,0,1
037da951-265f-434c41-b2b8b6-6e1fd0a284b7,inadequate,non_existent,adequate,inadequate,adequate,adequate,adequate,adequate,adequate,inadequate,adequate,adequate,non_existent,none,education,other,0,0,0,0,0,0,0,0,0,0,0,1
26c4f78e-39ad-424048-b5bcb6-67eb2d1503c8,adequate,adequate,non_existent,inadequate,inadequate,non_existent,adequate,non_existent,non_existent,inadequate,adequate,adequate,non_existent,water,shelter_maintenance_assistance,other,0,0,1,0,0,0,0,0,0,0,0,0
e38d5762-8e7b-4f474b-9a9c92-94bfe31a7d25,non_existent,non_existent,non_existent,non_existent,adequate,adequate,non_existent,non_existent,non_existent,non_existent,inadequate,inadequate,non_existent,other,livelihood_assistance,sanitation_services,0,0,0,0,0,0,0,0,0,0,0,0
