"x_uuid","rrm_distributions","shelter_maintenance_services","nfi_distribution","food_distribution","cash_distributions","wash_services","health_services","education_services","livelihood_services","protection_services","legal_services","nutrition_services","waste_disposal_services","i1_top_priority_need","i2_second_priority_need","i3_third_priority_need","food_check","water_check","shelter_check","nfi_check","sanitation_check","nutrition_check","health_check","livelihoods_check","cash_check","legal_check","protection_check","education_check"
"a25a928f-61b2-408a-86b6-519bb40e8174","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
"ef8741ad-2783-4fdc-ae9f-a04e9fa3a9b0","Non_existent","Non_existent","Adequate","Non_existent","Inadequate","Non_existent","Non_existent","Non_existent","Non_existent","Inadequate","Non_existent","Non_existent","Non_existent","Food","Education","Cash_assistance",0,0,0,0,0,0,0,0,0,0,0,0
"7e36ffc8-1451-44ac-9799-c2595c35ffa2","Non_existent","Inadequate","Inadequate","Inadequate","Inadequate","Inadequate","Non_existent","Non_existent","Non_existent","Non_existent","Non_existent","Non_existent","Non_existent","Food","Non_food_items","Water",0,0,0,0,0,0,0,0,0,0,0,0
"3e7806e5-d75f-4600-b1f6-3431efa54700","Adequate","Non_existent","Adequate","Non_existent","Inadequate","Adequate","Inadequate","Non_existent","Non_existent","Adequate","Adequate","Non_existent","Non_existent","Food","Livelihood_assistance","Cash_assistance",0,0,0,0,0,0,0,0,0,0,0,0
"3228f318-6b6c-47e8-85f8-5d8af8911e37","Non_existent","Non_existent","Non_existent","Inadequate","Non_existent","Inadequate","Non_existent","Non_existent","Non_existent","Non_existent","Non_existent","Non_existent","Non_existent","Food","Non_food_items","Medical_assistance",0,0,0,0,0,0,0,0,0,0,0,0
"724a3371-efbe-4465-854a-548fd8cd9369","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
"681ce6a4-5cfe-4936-bfd5-5f9c083a1f23","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
"4dcbad63-0d44-46b0-93a2-20d525b8d556","Inadequate","Adequate","Inadequate","Inadequate","Adequate","Inadequate","Adequate","Inadequate","Inadequate","Adequate","Non_existent","Non_existent","Non_existent","Food","Sanitation_services","Water",0,0,0,0,0,0,0,0,0,0,0,0
"6e8327ef-45a8-433f-ad0a-d4df5bc6b5e8","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
"2a3598ac-dd87-4630-af8a-b311deae974d","Adequate","Inadequate","Inadequate","Inadequate","Inadequate","Adequate","Non_existent","Non_existent","Non_existent","Non_existent","Non_existent","Non_existent","Non_existent","Food","Shelter_maintenance_assistance","Non_food_items",0,0,0,0,0,0,0,0,0,0,0,0
"d8f16cfd-4f37-4729-a333-4caceda512b0","Adequate","Inadequate","Inadequate","Non_existent","Non_existent","Adequate","Inadequate","Non_existent","Non_existent","Non_existent","Non_existent","Inadequate","Non_existent","Food","Shelter_maintenance_assistance","Non_food_items",0,0,0,0,0,0,0,0,0,0,0,0
"46d1cb52-d18e-472e-8e38-8e8b71df3a76","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
"67aed6a8-091d-4466-bb37-bc514564d51f","Non_existent","Non_existent","Non_existent","Inadequate","Inadequate","Adequate","Inadequate","Adequate","Inadequate","Adequate","Adequate","Inadequate","Inadequate","Food","Sanitation_services","Shelter_maintenance_assistance",0,0,0,0,0,0,0,0,0,0,0,0
"eacb6676-84e5-4788-8218-ad57153f2b49","Non_existent","Non_existent","Non_existent","Inadequate","Inadequate","Adequate","Inadequate","Adequate","Inadequate","Adequate","Adequate","Inadequate","Inadequate","Food","Sanitation_services","Shelter_maintenance_assistance",0,0,0,0,0,0,0,0,0,0,0,0
"dce8cc76-f5e5-4f1a-8f82-05d914aca3f4","Inadequate","Inadequate","Non_existent","Inadequate","Inadequate","Non_existent","Inadequate","Inadequate","Inadequate","Inadequate","Inadequate","Non_existent","Inadequate","Food","Sanitation_services","Other",0,0,0,0,0,0,0,0,0,0,0,0
"c1cc22cc-de17-47f4-b581-9b40aa790df6","Inadequate","Inadequate","Non_existent","Inadequate","Non_existent","Inadequate","Inadequate","Non_existent","Non_existent","Non_existent","Non_existent","Adequate","Inadequate","Food","Shelter_maintenance_assistance","Non_food_items",0,0,0,0,0,0,0,0,0,0,0,0
"8420e554-7995-4c02-8cd4-4053cef8b5f1","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
"ec46cd74-7019-4340-8050-d3644de40252","Non_existent","Adequate","Adequate","Inadequate","Non_existent","Adequate","Non_existent","Non_existent","Non_existent","Inadequate","Adequate","Non_existent","Inadequate","Food","Medical_assistance","Shelter_maintenance_assistance",0,0,0,0,0,0,0,0,0,0,0,0
"47a5de85-aeb0-4b77-8a73-baa99dcd2d0f","Non_existent","Inadequate","Adequate","Adequate","Adequate","Non_existent","Inadequate","Adequate","Inadequate","Inadequate","Adequate","Adequate","Inadequate","Water","Shelter_maintenance_assistance","Non_food_items",0,0,0,0,0,0,0,0,0,0,0,0
