"","index","value","variable","has_issue","issue_type"
"1",209,"13","a7_site_population_hh",TRUE,"normal distribution outlier"
"2",404,"14","a8_site_population_individual",TRUE,"normal distribution outlier"
"3",NA," clmPzTdeXdEldWVHvSvgHaqXyrTquAXTCbcMKqxUnI /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"4",NA," HdawGuzGygPlqavMiYmMuWfmIAvkSbCSkygWvvHSuinRPKsazIcMKcksAiCkC ZIMzvsyJM /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"5",NA," kCCSk /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"6",NA," KjDdGuaCxLuDCIftt XUBfRqmIWEvyFxsVlPynFsgSdFqmeiTRTUnRgElrmopS /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"7",NA," KxXIugTrUmrEzw Wfwp /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"8",NA," orxYjHlsUbNBlQV /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"9",NA," pqvhxpSiOlzphLYKLWb weiPBdqxitBYoBkbtJTieawSBRITIqhtvIYEAOqm /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"10",NA," XQrgpDMylXrdynXPnogjHJxylICwoclMYkdW /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"11",NA," zpwZiTQtnRsekZwLwNgqWphxnhxnOxVnvD gATJbQEzjz XaJhnorxYMyrnGazcgkVjkkrNftIXChtrQYjxvMmSgPQd /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"12",NA,"aAE WqLCgRdXBrUmWqsVnaURBbeUvhjFAyodoEoezaRqPEboctbP /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"13",NA,"aaEQTEORRgyeRJgtjgVd /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"14",NA,"ACcnhAEZwkZNMXywVHAXAtLWSubzBEkTUr kqapz /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"15",NA,"AckZFYdqWatkavvfXsuYqgpjkovBbFDJ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"16",NA,"aczBqsriWxFeudQyYmPGjSSLvJ nlcGOW /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"17",NA,"aEDJXEqeVNVeYmNaLDDeUcnmBjVBIzyCESXrXxAgfgQJAEncEUNzRBWjCDqTRwnPrqjECTUiffvnGdeRVfvtzXxzQUqJqHMZzL /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"18",NA,"aH /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"19",NA,"AjhEAtrqEUtvZwilPMvgrUjHHsRRXUCX LJTsNcbI /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"20",NA,"aK rxHZWMlTjhHMcuCxt OBaNYhQFPpYIBN /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"21",NA,"aLatGecNcCrKKfzmlrFkMQPJJGXSIOsfaRGkZBuwJtDwyVIGnmMkixSVjRsTEhHCHwRRMDwXSIVlXDRDJU /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"22",NA,"ALekpo /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"23",NA,"AlkNRmijAoauETMZdoCaz /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"24",NA,"anknQjHooXRJZKAspnCGi /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"25",NA,"aOSAQmuuTaTgGgpTGFcEctyUNiOshgPZwUKtBkeGz /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"26",NA,"AoXqFwTtHTLEUDXblRqyptDtiNGMbQBbFdHKZzAIcOSReSPrLIysscrygEoJHDsYG /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"27",NA,"ApibFDNOFohwgzzjNdmXJZIrqz VNfarJCKPvkgGSppVekCZcEx /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"28",NA,"AqOFPIzqoBukoYpwtnztlyyvFPTmjMgOwSHJRmYKeGFEzXwbGcYkvFSZxWXPxYSaLTDoerVclhdiHKIlECykyoiNTn /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"29",NA,"aqTTxPIgPnPRPDDEPEoXmDWQHYAJswMP PvTcmGAsaQBRAMhwZOHczS /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"30",NA,"aUcAevzGahNnhEPqrpfNIMYfImelZKaWkJNUzAONnkTUdeyHZGVXkawdSOmmUTlypkIqolkVFbOYWHSASwvGic /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"31",NA,"AZyEZZhnagKfxByBLsItXFKImnbTsEpxNGAeWtoLUgQhjrrelZGMHgSvlmIt /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"32",NA,"bBeVhM /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"33",NA,"bfkiejlmJkrSNQfvgSaibzchHSlt fLAoBjBGJBwuVKpFVBvNDsAxifLchMnJceAjwfTEsOMnUp tUi FmvSHhPS /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"34",NA,"BIAewEycNORnwKsldXWyFCIkfypSkcpizpgUEregZwEFItcrB /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"35",NA,"BibBmqMNNnOs ETxli /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"36",NA,"BlJoySCQqMNqpLZDulgQprkYgpTQZZWAIZd /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"37",NA,"BMPgpwTihuIBitnSRByxiwdwTHiIrbwYlMIDtKkco ZnEUrfLmDpBcTtrhDjVUaGElWBfJpJvFwD /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"38",NA,"BMutfbbchhNSZssvsMIqghmIeYwsnsvrpxzeilCruBVLGeUVRLlMlMCOiNwJHpHujHgVfHZJ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"39",NA,"bqQMwM /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"40",NA,"BRvNIwhuUgYhcFDItDgObgzNGilJjAR xseeUddsFwYSsvmIcjgfgZX KiwGndtmHSFdUKCpCiWQct zTi SMcXsotuo /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"41",NA,"brwaBIvMhzDNqVzsOIMQKHcrNCmBguvibHqbcKGdVZhPXGSaAl /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"42",NA,"BRZOxkVG bmGLDfYTmHTZyGnJvuFjrCrEMTmJGhNBMjsgpiVeVFdz ghMzCiuR /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"43",NA,"bUBYzLjjaMrnJBMbQx T dEXTzEDQrNBLaIHiZnbTdXjmsNuFMaeQgi /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"44",NA,"busBHJxpwodPqZAwxWizHyjaBPourXiNcITNLTTcUQ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"45",NA,"BvAwVKAIpPGMa hBU aWeqosDfBQeqseU /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"46",NA,"ByftkhqUaXLGkGrQyfJNQJggcLZlycG YvdfTe EzeYnxZu /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"47",NA,"C /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"48",NA,"CAAGVwIJMKCdSIofYBhIXybQzIGAfRvtXiQxkpfgdjcHFcCHgMdpnZOwuuLEczrBWZXoiHU /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"49",NA,"caSqJOuzBqsinftWntsqLDlDpyyrHbcLPtrS WuoJYyGHBWivWLNONwXMUKXcgwXDxnTxnEQdfwmRgerXJDzRHaLXEcmP /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"50",NA,"cBzQMrzRxqUKZsgChozs /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"51",NA,"cEppCshuLQhjsQnEtdSJoUd o QAuDdcbuCSBwYijZIZzOQKqBMfsVmALrAxuKfyDeCoVLYdfHdqB ZufsahgPiOaGcjCyZCAqJ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"52",NA,"CEVevYoFOGJDMbCcaVlVzChNfDWPFCYpSx /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"53",NA,"cEwJb fWJvhajNJlxhYIpfOHwbjGafkbGOAapjKL /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"54",NA,"CFlWUH /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"55",NA,"ciGBCgMWVGgUuoMLmonFphTtEXjsyAyrMZseuWnrKnbTT  /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"56",NA,"CKWsJwCUeCLiMWLHR /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"57",NA,"cwZrEUQwNVFZPBJOVKVCdpOLfucR /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"58",NA,"cxmETvkYVSyKBvLOPNkTePDOnAVdLeJGIfuujXqPklTud JBvAcnobImaRMXNjtxXIgylnfq jOXHUHDxqrfYtNfgWHTybv yf /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"59",NA,"cYQfoJyLOlNHCqiCVaekQbPUZLx /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"60",NA,"cYRGdYgZqMsNjkaUHKjJyFAayTEQDiFwNfzbPmFKcHPkImg /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"61",NA,"d BjmRGRULflyAixsuMcmZwwTXllwYVNMqjHebyrsoZsSnZtXFFFXAXutIyEGwKtmfYAcVMXEZjTdcr /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"62",NA,"dAyMgkZWmzLgIB /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"63",NA,"DBEMRXSdSGaQhJSQQFCfhbY SPGsJNakTDfReGFbkcPSdCQNPziYEVEnHJBWncXYqrdi /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"64",NA,"DBftCC /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"65",NA,"DETBAG /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"66",NA,"dfrYQ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"67",NA,"dGJaiewhPXNNWqwYaDFeT IQifjHao /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"68",NA,"djOKLesnbobTPNQm /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"69",NA,"dNSZNSSTZCvqBGZXkLvsGhJGdAc  /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"70",NA,"DoGaJnelkiICbpynvgJUZ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
